20240906|110412|login           |login_proceduer     |30  |DBG|Server Socket File Descirptor[23]
20240906|110412|login           |login_proceduer     |37  |DBG|Connect Server Success!
20240906|110412|login           |login_proceduer     |44  |DBG|Send Data Success!
20240906|110412|login           |login_proceduer     |49  |ERR|Receive Data[12:Hello World!]
20240906|110412|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240906|110412|login           |login_proceduer     |22  |DBG|Server port[21001]
20240906|110412|login           |login_proceduer     |30  |DBG|Server Socket File Descirptor[24]
20240906|110412|login           |login_proceduer     |37  |DBG|Connect Server Success!
20240906|110412|login           |login_proceduer     |44  |DBG|Send Data Success!
20240906|110412|login           |login_proceduer     |49  |ERR|Receive Data[12:Hello World!]
20240906|110412|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240906|110412|login           |login_proceduer     |22  |DBG|Server port[21001]
20240906|110412|login           |login_proceduer     |30  |DBG|Server Socket File Descirptor[25]
20240906|110412|login           |login_proceduer     |37  |DBG|Connect Server Success!
20240906|110412|login           |login_proceduer     |44  |DBG|Send Data Success!
20240906|110412|login           |login_proceduer     |49  |ERR|Receive Data[12:Hello World!]
20240906|110412|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240906|110412|login           |login_proceduer     |22  |DBG|Server port[21001]
20240906|110412|login           |login_proceduer     |30  |DBG|Server Socket File Descirptor[26]
20240906|110412|login           |login_proceduer     |37  |DBG|Connect Server Success!
20240906|110412|login           |login_proceduer     |44  |DBG|Send Data Success!
20240906|110412|login           |login_proceduer     |49  |ERR|Receive Data[12:Hello World!]
20240906|110412|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240906|110412|login           |login_proceduer     |22  |DBG|Server port[21001]
20240906|110412|login           |login_proceduer     |30  |DBG|Server Socket File Descirptor[27]
20240906|110412|login           |login_proceduer     |37  |DBG|Connect Server Success!
20240906|110412|login           |login_proceduer     |44  |DBG|Send Data Success!
20240906|110412|login           |login_proceduer     |49  |ERR|Receive Data[12:Hello World!]
20240906|110412|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240906|110412|login           |login_proceduer     |22  |DBG|Server port[21001]
20240906|110412|login           |login_proceduer     |30  |DBG|Server Socket File Descirptor[28]
20240906|110412|login           |login_proceduer     |37  |DBG|Connect Server Success!
20240906|110412|login           |login_proceduer     |44  |DBG|Send Data Success!
20240906|110412|login           |login_proceduer     |49  |ERR|Receive Data[12:Hello World!]
20240906|110412|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240906|110412|login           |login_proceduer     |22  |DBG|Server port[21001]
20240906|110412|login           |login_proceduer     |30  |DBG|Server Socket File Descirptor[29]
20240906|110412|login           |login_proceduer     |37  |DBG|Connect Server Success!
20240906|110412|login           |login_proceduer     |44  |DBG|Send Data Success!
20240906|110412|login           |login_proceduer     |49  |ERR|Receive Data[12:Hello World!]
20240906|110412|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240906|110412|login           |login_proceduer     |22  |DBG|Server port[21001]
20240906|110412|login           |login_proceduer     |30  |DBG|Server Socket File Descirptor[30]
20240906|110412|login           |login_proceduer     |37  |DBG|Connect Server Success!
20240906|110412|login           |login_proceduer     |44  |DBG|Send Data Success!
